hdi_rank,country,region,hdi,gii_rep,gini,rank,mat_mort_ratio,mmr_calc,adol_birth_rate,parliament,PRf,PRm,seced_f,seced_m,Sef,Sem,labour_f,labour_m,female_index,male_index,harm,healthavg,empowermentavg,lfpravg,gfm,gii_calc,gii_rep2
132,Bhutan,World,,47.7,38.1,110,148,148,21.4,8.3,0.083,0.917,5.8,13.4,0.058,0.134,58.7,72.8,13.18,63.43,0.2182,0.5281,0.21,0.6575,0.4177,0.4776,0.477
135,Congo,Africa,medium,59.2,47.3,141,442,442,117.7,11.5,0.115,0.885,45,50,0.45,0.5,67.1,72.6,12.84,78.46,0.2207,0.5069,0.4463,0.6985,0.5407,0.5919,0.592
138,Lao People's Democratic Republic,World,,46.8,36.7,106,197,197,64.1,25,0.25,0.75,30.4,42.8,0.304,0.428,77.7,77,18.2,75.84,0.2935,0.5141,0.4211,0.7735,0.5512,0.4674,0.468
139,Bangladesh,World,,52,32.1,119,176,176,83,20,0.2,0.8,42,44.3,0.42,0.443,43.1,81,14.84,78.42,0.2496,0.5131,0.4426,0.6205,0.5204,0.5204,0.52
139,Ghana,Africa,medium,54.7,42.8,131,319,319,66.8,10.9,0.109,0.891,51.8,68.5,0.518,0.685,75.5,78.5,15.72,84.96,0.2653,0.5108,0.5094,0.77,0.5852,0.5466,0.547
139,Zambia,Africa,medium,52.6,57.5,124,224,224,90.4,12.7,0.127,0.873,52.3,48.9,0.523,0.489,69.8,80.9,15.87,80.85,0.2653,0.5111,0.4555,0.7535,0.5598,0.526,0.526
142,Sao Tome and Principe,Africa,medium,52.4,50.8,122,156,156,84.3,18.2,0.182,0.818,30.8,44.8,0.308,0.448,45.3,76.2,14.35,77.27,0.2421,0.5138,0.4211,0.6075,0.5084,0.5238,0.524
143,Cambodia,World,,47.9,36,112,161,161,51.6,19,0.19,0.81,13.2,26.1,0.132,0.261,75.5,86.7,16.07,73.6,0.2638,0.5173,0.3091,0.811,0.5062,0.4789,0.479
146,Kenya,Africa,medium,56.5,47.7,135,510,510,90.9,20.8,0.208,0.792,27.8,34.1,0.278,0.341,62.1,72.1,12.99,72.09,0.2202,0.5073,0.3801,0.671,0.5058,0.5647,0.565
148,Swaziland,Africa,low,56.6,51.5,137,389,389,70.4,14.7,0.147,0.853,27.3,30.5,0.273,0.305,40,64.2,11.53,68.93,0.1975,0.5096,0.3552,0.521,0.4552,0.5661,0.566
151,Tanzania (United Republic of),Africa,low,54.4,37.6,129,398,398,118.6,36,0.36,0.64,10.1,15.3,0.101,0.153,74,83.3,12.71,63.88,0.212,0.5073,0.2518,0.7865,0.4649,0.5439,0.544
153,Cameroon,Africa,low,56.8,38.9,138,596,596,104.6,27.1,0.271,0.729,31.7,37.9,0.317,0.379,71,81.1,13.81,75.26,0.2334,0.5063,0.4094,0.7605,0.5402,0.5679,0.568
157,Mauritania,Africa,low,62.6,40.5,147,602,602,78.6,22.2,0.222,0.778,11.1,23.5,0.111,0.235,29.1,65.3,8.72,65.36,0.1539,0.5073,0.2923,0.472,0.4121,0.6264,0.626
159,Rwanda,Africa,low,38.3,50.8,84,290,290,26.3,57.5,0.575,0.425,10.5,16.4,0.105,0.164,86.4,83.2,19.74,60.34,0.2974,0.5181,0.2549,0.848,0.482,0.3829,0.383
160,Lesotho,Africa,low,54.9,52.5,132,487,487,92.7,24.8,0.248,0.752,23.6,22.5,0.236,0.225,59.2,73.9,12.87,67.24,0.216,0.5074,0.3266,0.6655,0.4796,0.5495,0.549
162,Senegal,Africa,low,52.1,40.3,120,315,315,78.6,42.7,0.427,0.573,10.2,19.2,0.102,0.192,45,70.2,12.36,61.52,0.2058,0.51,0.2702,0.576,0.4298,0.5211,0.521
163,Uganda,Africa,low,52.2,44.3,121,343,343,111.9,35,0.35,0.65,25.9,32.1,0.259,0.321,82.3,87.7,15.87,73.72,0.2612,0.5081,0.3789,0.85,0.547,0.5224,0.522
165,Sudan,Africa,low,57.5,35.3,140,311,311,74,31,0.31,0.69,13.7,18.8,0.137,0.188,24.3,72.2,10.14,63.83,0.1751,0.5104,0.2831,0.4825,0.4116,0.5747,0.575
166,Togo,Africa,low,55.6,39.3,134,368,368,92,17.6,0.176,0.824,23.1,36.1,0.231,0.361,81.1,80.6,14.11,76.04,0.2381,0.5086,0.3735,0.8085,0.5355,0.5555,0.556
167,Benin,Africa,low,61.3,38.6,144,405,405,83.2,7.2,0.072,0.928,15.8,30.8,0.158,0.308,70,73.4,10.88,73.21,0.1894,0.5086,0.3206,0.717,0.489,0.6127,0.613
170,Malawi,Africa,low,61.4,43.9,145,634,634,136.2,16.7,0.167,0.833,14.9,24.2,0.149,0.242,81.2,80.8,11.13,71.32,0.1925,0.5054,0.3034,0.81,0.4989,0.6141,0.614
171,Côte d'Ivoire,Africa,low,67.2,41.5,155,645,645,135.5,9.2,0.092,0.908,16.6,32.7,0.166,0.327,52.4,80.9,8.85,76.11,0.1585,0.5053,0.3342,0.6665,0.4829,0.6717,0.672
173,Gambia,Africa,low,64.1,47.3,148,706,706,113,9.4,0.094,0.906,25.3,39.1,0.253,0.391,72.2,82.7,10.76,78.96,0.1894,0.5056,0.3747,0.7745,0.5274,0.6409,0.641
174,Ethiopia,Africa,low,49.9,33.6,116,353,353,58.4,37.3,0.373,0.627,10.8,20.7,0.108,0.207,77,89.1,15.04,68.47,0.2467,0.511,0.2805,0.8305,0.4919,0.4986,0.499
175,Mali,Africa,low,68.9,33,156,587,587,174.6,8.8,0.088,0.912,7.3,16.2,0.073,0.162,50.1,82.3,7.35,68.14,0.1326,0.5049,0.2323,0.662,0.4266,0.6891,0.689
176,Congo (Democratic Republic of the),Africa,low,66.3,47.3,153,693,693,122.6,8.2,0.082,0.918,14.5,35,0.145,0.35,70.5,71.8,9.41,74.11,0.167,0.5054,0.3379,0.7115,0.4953,0.6628,0.663
177,Liberia,Africa,low,64.9,38.2,150,725,725,108.8,10.7,0.107,0.893,17.3,39.7,0.173,0.397,58,63.9,9.61,72.46,0.1698,0.5056,0.3657,0.6095,0.483,0.6486,0.649
179,Sierra Leone,Africa,low,65,35.4,151,"1,360",1000,118.2,12.4,0.124,0.876,16.8,29.7,0.168,0.297,65,68.6,9.52,70.47,0.1677,0.5046,0.3272,0.668,0.4796,0.6502,0.65
181,Mozambique,Africa,low,57.4,45.7,139,489,489,139.7,39.6,0.396,0.604,2.8,8,0.028,0.08,82.5,75.4,10.17,54.93,0.1716,0.506,0.1626,0.7895,0.402,0.5731,0.574
184,Burundi,Africa,low,47.4,33.3,108,712,712,28.3,37.8,0.378,0.622,7.1,9.6,0.071,0.096,84.6,82.7,14.56,58.68,0.2333,0.5111,0.2041,0.8365,0.4436,0.4739,0.474
185,Burkina Faso,Africa,low,61.5,39.8,146,371,371,108.5,9.4,0.094,0.906,6,11.5,0.06,0.115,76.6,90.7,9.68,66.4,0.1689,0.5079,0.1989,0.8365,0.4389,0.615,0.615
186,Chad,Africa,low,69.5,39.8,157,856,856,133.5,14.9,0.149,0.851,1.7,9.9,0.017,0.099,64,79.3,6.7,61.28,0.1209,0.5047,0.1703,0.7165,0.3949,0.6939,0.695
187,Niger,Africa,low,69.5,34.6,157,553,553,202.4,13.3,0.133,0.867,3.6,8.4,0.036,0.084,40.2,89.4,6.41,62.25,0.1162,0.5047,0.1695,0.648,0.3813,0.6953,0.695
188,Central African Republic,Africa,low,64.8,56.3,149,882,882,91.9,12.5,0.125,0.875,12.3,29.8,0.123,0.298,71.7,84.6,9.96,75.6,0.176,0.5056,0.3173,0.7815,0.5005,0.6484,0.648
