hdi_rank,country,region,gii_rep,gini,rank,mat_mort_ratio,mmr_calc,adol_birth_rate,parliament,PRf,PRm,seced_f,seced_m,Sef,Sem,labour_f,labour_m,female_index,male_index,harm,healthavg,empowermentavg,lfpravg,gfm,gii_calc,gii_rep2
66,Serbia,World,0.185,36.18,40,17,17,19,34,0.34,0.66,82.3,91.6,0.823,0.916,43.4,60.1,0.3431,0.776,0.4758,0.588,0.6533,0.5175,0.5836,0.1847,0.185
70,Georgia,World,0.361,42.25,76,36,36,39.7,11.3,0.113,0.887,96.1,97.4,0.961,0.974,57.3,78.4,0.2509,0.8999,0.3924,0.5418,0.6295,0.6785,0.614,0.3609,0.361
71,Turkey,World,0.328,42.58,69,16,16,27.6,14.9,0.149,0.851,43.5,64.8,0.435,0.648,30.4,71.4,0.2267,0.8094,0.3542,0.5752,0.4986,0.509,0.5265,0.3274,0.328
77,Mexico,World,0.345,47.1,73,38,38,62.8,40.6,0.406,0.594,56.1,59,0.561,0.59,45.4,79.5,0.2412,0.7778,0.3682,0.5324,0.5346,0.6245,0.5623,0.3452,0.345
79,Brazil,World,0.414,52.34,92,44,44,67,10.8,0.108,0.892,59.1,55.2,0.591,0.552,56.3,78.5,0.2023,0.8197,0.3246,0.5291,0.4772,0.674,0.5542,0.4143,0.414
87,Peru,World,0.385,43.59,86,68,68,49.1,22.3,0.223,0.777,56.2,67,0.562,0.67,65.7,82.6,0.2335,0.8415,0.3656,0.5274,0.5378,0.7415,0.5947,0.3853,0.385
89,Ecuador,World,0.391,45.61,88,64,64,75.9,41.6,0.416,0.584,48.2,49.4,0.482,0.494,49,79.7,0.2151,0.7537,0.3347,0.5227,0.4925,0.6435,0.5492,0.3905,0.391
90,China,World,0.164,44.71,37,27,27,7.3,23.6,0.236,0.764,69.8,79.4,0.698,0.794,63.6,77.9,0.3874,0.8466,0.5316,0.6126,0.5924,0.7075,0.6356,0.1637,0.164
95,Colombia,World,0.393,51.58,89,64,64,50.2,20.9,0.209,0.791,50.3,59.6,0.503,0.596,57.9,79.8,0.2188,0.8183,0.3453,0.5279,0.5054,0.6885,0.5685,0.3926,0.393
99,Dominican Republic,World,0.47,49.43,107,92,92,97.9,19.1,0.191,0.809,57.2,55.5,0.572,0.555,52.3,78.7,0.1793,0.8079,0.2934,0.5167,0.5003,0.655,0.5532,0.4696,0.47
110,Paraguay,World,0.464,50.84,104,132,132,57.4,16.8,0.168,0.832,46.2,47,0.462,0.47,58.1,84.6,0.1805,0.8088,0.2951,0.5182,0.452,0.7135,0.5508,0.4642,0.464
111,Egypt,Africa,0.565,51.3,135,33,33,51.9,2.2,0.022,0.978,54.5,68.2,0.545,0.682,22.8,76.1,0.124,0.8534,0.2166,0.5382,0.4631,0.4945,0.4977,0.5648,0.565
117,El Salvador,World,0.384,42.04,85,54,54,65.2,32.1,0.321,0.679,39.4,44.8,0.394,0.448,49.1,79.2,0.2103,0.7588,0.3294,0.5266,0.4536,0.6415,0.5351,0.3845,0.384
119,South Africa,Africa,0.394,65.43,90,138,138,45.5,41.2,0.412,0.588,73.7,76.2,0.737,0.762,46.2,60.2,0.2166,0.7386,0.335,0.52,0.6102,0.532,0.5527,0.3939,0.394
124,Nicaragua,World,0.462,46.15,103,150,150,88.8,41.3,0.413,0.587,45.7,44.1,0.457,0.441,49.1,80.3,0.1801,0.742,0.2899,0.5137,0.4716,0.647,0.5392,0.4624,0.462
125,Guatemala,World,0.494,50.36,113,88,88,80.7,13.9,0.139,0.861,37.4,36.2,0.374,0.362,41.3,83.6,0.1523,0.7757,0.2546,0.5188,0.3931,0.6245,0.5031,0.4939,0.494
130,Honduras,World,0.461,53.55,101,129,129,65,25.8,0.258,0.742,33.4,31.1,0.334,0.311,47.2,84.4,0.1685,0.7401,0.2745,0.5173,0.387,0.658,0.5088,0.4604,0.461
131,India,World,0.53,50.3,125,174,174,24.5,12.2,0.122,0.878,35.3,61.4,0.353,0.614,26.8,79.1,0.1391,0.8343,0.2385,0.5242,0.4709,0.5295,0.5075,0.53,0.53
132,Bhutan,World,0.477,38.1,110,148,148,21.4,8.3,0.083,0.917,5.8,13.4,0.058,0.134,58.7,72.8,0.1318,0.6343,0.2182,0.5281,0.21,0.6575,0.4177,0.4776,0.477
135,Congo,Africa,0.592,47.3,141,442,442,117.7,11.5,0.115,0.885,45,50,0.45,0.5,67.1,72.6,0.1284,0.7846,0.2207,0.5069,0.4463,0.6985,0.5407,0.5919,0.592
138,Lao People's Democratic Republic,World,0.468,36.7,106,197,197,64.1,25,0.25,0.75,30.4,42.8,0.304,0.428,77.7,77,0.182,0.7584,0.2935,0.5141,0.4211,0.7735,0.5512,0.4674,0.468
139,Bangladesh,World,0.52,32.1,119,176,176,83,20,0.2,0.8,42,44.3,0.42,0.443,43.1,81,0.1484,0.7842,0.2496,0.5131,0.4426,0.6205,0.5204,0.5204,0.52
139,Ghana,Africa,0.547,42.8,131,319,319,66.8,10.9,0.109,0.891,51.8,68.5,0.518,0.685,75.5,78.5,0.1572,0.8496,0.2653,0.5108,0.5094,0.77,0.5852,0.5466,0.547
